pbrain-whose20190401x64.exe
pbrain-rapfi.exe
4,4,0
5,5,0
6,4,0
3,5,0
2,6,0
5,4,1631
4,5,153
4,3,1516
3,2,146
3,4,1309
5,2,115
4,2,1316
4,1,142
2,4,1451
6,3,127
7,4,1508
6,5,97
6,2,1427
4,6,149
3,6,1283
3,7,100
4,7,1512
1,4,108
2,3,1507
1,5,96
1,6,1313
1,1,91
0,4,1171
0,7,96
6,6,1325
3,3,124
2,2,1078
2,1,120
3,1,1505
1,3,124
1,2,49
5,7,146
7,3,1497
8,4,110
5,0,1426
7,5,144
4,8,1349
7,0,146
3,8,1483
5,8,127
8,3,1320
2,8,113
4,0,1345
3,0,147
5,1,1353
8,8,53
8,5,1186
0,3,52
0,0,1398
5,3,51
0,1,1329
0
