pbrain-rapfi21.exe
pbrain-rapfi21.exe
4,4,1
5,4,0
3,3,0
5,5,0
6,6,0
4,5,1631
3,5,285
5,3,1519
5,6,147
3,6,1497
6,3,147
6,5,1263
5,2,147
4,1,1519
3,2,150
4,2,1456
6,4,150
3,1,1520
2,7,149
1,3,1521
2,6,132
2,4,1520
6,1,152
1,7,1307
1,1,133
2,2,1522
4,0,151
7,5,1520
8,5,49
6,2,1518
7,6,151
8,6,1463
1,4,149
0,4,1259
5,0,149
7,0,1509
3,4,149
2,5,1520
3,8,149
2,3,1318
2,1,49
2,0,1520
2,8,150
4,8,1505
0,5,150
0,0,1330
3,7,149
0,2,1519
0,1,148
8,8,1518
5,7,150
4,7,1293
0,3,148
0,6,1412
6,8,133
0,7,1654
0
