pbrain-rapfi19.exe
pbrain-SlowRenju_x64.exe
4,4,0
3,4,0
5,4,0
4,3,7148
5,2,4122
5,3,1775
3,3,179
5,5,1560
4,2,165
4,5,2031
2,4,172
5,1,1771
2,2,170
3,2,2204
2,3,168
2,5,2300
3,5,167
4,6,1924
6,4,172
7,4,1112
6,5,174
6,7,1745
5,6,176
1,5,1499
1,1,165
0,0,627
1,6,165
7,3,1423
7,2,164
8,2,2506
8,3,166
4,7,2590
5,7,172
4,0,2832
6,2,166
6,3,2432
1,4,319
2,1,2609
1,0,177
7,5,2856
7,6,178
4,1,2963
6,1,165
4,8,2575
2,6,161
0,8,1597
3,8,167
1,3,631
3,0,166
0,7,581
0,4,158
3,7,263
1,7,162
0,3,214
8,4,160
8,5,549
0
