pbrain-pela.exe
pbrain-wine.exe
4,4,0
5,3,0
4,6,0
4,3,9649
6,3,6336
6,4,3321
6,6,4491
3,3,2260
4,2,4859
5,4,4164
3,2,3255
5,2,6031
5,5,446
3,6,3339
5,1,1486
3,4,6284
2,5,218
2,3,2201
1,3,105
4,5,1174
5,6,123
1,2,2294
0,1,95
7,6,6411
6,1,105
4,1,3147
2,7,140
2,4,1212
3,5,127
7,7,1146
8,7,106
3,8,5459
7,5,95
4,8,2224
6,8,98
4,0,6556
2,8,106
2,0,2157
2,2,95
1,7,5143
3,0,117
0,4,2180
3,7,95
8,4,2188
4,7,100
7,4,1155
6,7,107
5,7,130
8,3,166
7,0,2143
8,0,138
1,4,5380
7,3,97
1,5,1155
1,6,96
0,5,5198
0
