pbrain-SlowRenju_x64.exe
pbrain-embryo21_e.exe
4,4,0
5,5,0
3,5,1
5,3,0
3,6,0
3,4,2087
5,4,4804
4,5,166
5,6,156
4,6,166
6,4,1287
7,4,167
4,3,1290
4,1,169
6,3,152
6,5,171
7,5,139
1,4,167
3,2,1319
2,4,167
6,2,1329
4,2,167
5,1,158
4,0,167
2,6,160
1,7,176
1,5,1350
0,4,168
2,2,1296
8,4,169
0,0,171
4,7,170
3,7,145
4,8,173
8,2,1119
6,0,171
7,0,1323
5,8,167
6,8,144
1,1,169
2,3,139
2,1,169
3,1,1272
0,3,177
0,5,1258
8,7,174
8,6,138
1,3,149
1,2,159
3,3,166
7,7,1229
5,2,166
1,8,1264
2,5,167
3,0,154
6,6,138
0
