pbrain-pela.exe
pbrain-wine.exe
3,2,9616
5,4,6646
6,4,158
4,4,3522
4,5,133
3,4,2473
2,5,5107
5,3,4690
1,4,2664
3,5,1244
2,6,2567
5,5,1336
5,2,2347
2,4,4592
5,7,1945
3,3,3497
2,2,2855
4,2,1203
5,1,4115
4,3,2265
6,3,3058
4,1,1199
4,0,132
1,3,6763
2,3,96
6,6,1173
7,7,136
6,2,1207
7,1,97
4,6,3592
0,2,107
7,6,1230
5,6,97
4,7,1248
8,7,97
3,7,1267
3,6,97
0,6,2426
1,5,110
4,8,1367
0,7,105
8,4,1323
1,8,127
1,6,1292
8,5,97
5,0,1312
0,4,128
0,1,3517
3,1,107
7,2,1344
7,4,97
8,0,4731
8,1,97
0,0,2247
6,8,131
0,3,130
0
